player1,player2,winner,score1,score2,board,time
team12_A2,greedy_player,team12_A2,19,6,"random-2x3.txt
",0.1
greedy_player,team12_A2,team12_A2,6,19,"random-2x3.txt
",0.1
team12_A2,greedy_player,team12_A2,20,5,"random-2x3.txt
",0.1
greedy_player,team12_A2,team12_A2,6,19,"random-2x3.txt
",0.1
team12_A2,greedy_player,team12_A2,21,4,"random-2x3.txt
",0.1
greedy_player,team12_A2,team12_A2,7,18,"random-2x3.txt
",0.1
team12_A2,team12_A1,team12_A2,15,13,"random-2x3.txt
",0.1
team12_A1,team12_A2,team12_A2,10,15,"random-2x3.txt
",0.1
team12_A2,team12_A1,team12_A2,15,13,"random-2x3.txt
",0.1
team12_A1,team12_A2,team12_A1,17,9,"random-2x3.txt
",0.1
team12_A2,team12_A1,team12_A2,15,13,"random-2x3.txt
",0.1
team12_A1,team12_A2,team12_A2,6,21,"random-2x3.txt
",0.1
team12_A2,greedy_player,team12_A2,20,8,"random-2x3.txt
",0.5
greedy_player,team12_A2,team12_A2,6,19,"random-2x3.txt
",0.5
team12_A2,greedy_player,greedy_player,11,14,"random-2x3.txt
",0.5
greedy_player,team12_A2,team12_A2,7,18,"random-2x3.txt
",0.5
team12_A2,greedy_player,team12_A2,18,7,"random-2x3.txt
",0.5
greedy_player,team12_A2,team12_A2,6,19,"random-2x3.txt
",0.5
team12_A2,team12_A1,team12_A2,15,13,"random-2x3.txt
",0.5
team12_A1,team12_A2,team12_A2,8,20,"random-2x3.txt
",0.5
team12_A2,team12_A1,team12_A2,15,13,"random-2x3.txt
",0.5
team12_A1,team12_A2,team12_A2,8,20,"random-2x3.txt
",0.5
team12_A2,team12_A1,team12_A2,15,13,"random-2x3.txt
",0.5
team12_A1,team12_A2,team12_A2,8,20,"random-2x3.txt
",0.5
team12_A2,greedy_player,team12_A2,21,4,"random-2x3.txt
",1.0
greedy_player,team12_A2,team12_A2,7,20,"random-2x3.txt
",1.0
team12_A2,greedy_player,greedy_player,11,14,"random-2x3.txt
",1.0
greedy_player,team12_A2,team12_A2,7,18,"random-2x3.txt
",1.0
team12_A2,greedy_player,team12_A2,17,8,"random-2x3.txt
",1.0
greedy_player,team12_A2,team12_A2,7,18,"random-2x3.txt
",1.0
team12_A2,greedy_player,team12_A2,23,5,"random-2x3.txt
",5.0
greedy_player,team12_A2,team12_A2,9,19,"random-2x3.txt
",5.0
team12_A2,greedy_player,team12_A2,20,5,"random-2x3.txt
",5.0
greedy_player,team12_A2,team12_A2,6,19,"random-2x3.txt
",5.0
team12_A2,greedy_player,team12_A2,19,6,"random-2x3.txt
",5.0
greedy_player,team12_A2,team12_A2,6,19,"random-2x3.txt
",5.0
team12_A2,team12_A1,team12_A2,21,7,"random-2x3.txt
",5.0
team12_A1,team12_A2,team12_A2,7,18,"random-2x3.txt
",5.0
team12_A2,team12_A1,team12_A2,21,7,"random-2x3.txt
",5.0
team12_A1,team12_A2,team12_A2,7,18,"random-2x3.txt
",5.0
team12_A2,team12_A1,team12_A2,21,7,"random-2x3.txt
",5.0
team12_A1,team12_A2,team12_A2,7,18,"random-2x3.txt
",5.0
team12_A2,greedy_player,team12_A2,27,9,"random-3x3.txt
",0.1
greedy_player,team12_A2,team12_A2,10,25,"random-3x3.txt
",0.1
team12_A2,greedy_player,team12_A2,22,15,"random-3x3.txt
",0.1
greedy_player,team12_A2,team12_A2,9,26,"random-3x3.txt
",0.1
team12_A2,greedy_player,team12_A2,30,8,"random-3x3.txt
",0.1
greedy_player,team12_A2,team12_A2,11,24,"random-3x3.txt
",0.1
team12_A2,team12_A1,team12_A2,30,11,"random-3x3.txt
",0.1
team12_A1,team12_A2,team12_A1,21,16,"random-3x3.txt
",0.1
team12_A2,team12_A1,team12_A2,27,12,"random-3x3.txt
",0.1
team12_A1,team12_A2,team12_A2,13,23,"random-3x3.txt
",0.1
team12_A2,team12_A1,team12_A2,30,11,"random-3x3.txt
",0.1
team12_A1,team12_A2,team12_A1,25,13,"random-3x3.txt
",0.1
