player1,player2,winner,score1,score2,board,time
team12_A2,greedy_player,team12_A2,19,6,empty-2x3,0.3
greedy_player,team12_A2,team12_A2,6,19,empty-2x3,0.3
team12_A2,greedy_player,team12_A2,20,5,empty-2x3,0.3
greedy_player,team12_A2,team12_A2,6,19,empty-2x3,0.3
team12_A2,greedy_player,team12_A2,21,4,empty-2x3,0.3
greedy_player,team12_A2,team12_A2,7,18,empty-2x3,0.3
team12_A2,team12_A1,team12_A2,15,13,empty-2x3,0.3
team12_A1,team12_A2,team12_A2,10,15,empty-2x3,0.3
team12_A2,team12_A1,team12_A2,15,13,empty-2x3,0.3
team12_A1,team12_A2,team12_A1,17,9,empty-2x3,0.3
team12_A2,team12_A1,team12_A2,15,13,empty-2x3,0.3
team12_A1,team12_A2,team12_A2,6,21,empty-2x3,0.3
team12_A2,greedy_player,team12_A2,20,8,empty-2x3,0.3
greedy_player,team12_A2,team12_A2,6,19,empty-2x3,0.3
team12_A2,greedy_player,greedy_player,11,14,empty-2x3,0.3
greedy_player,team12_A2,team12_A2,7,18,empty-2x3,0.3
team12_A2,greedy_player,team12_A2,18,7,empty-2x3,0.3
greedy_player,team12_A2,team12_A2,6,19,empty-2x3,0.3
team12_A2,team12_A1,team12_A2,15,13,empty-2x3,0.3
team12_A1,team12_A2,team12_A2,8,20,empty-2x3,0.3
team12_A2,team12_A1,team12_A2,15,13,empty-2x3,0.3
team12_A1,team12_A2,team12_A2,8,20,empty-2x3,0.3
team12_A2,team12_A1,team12_A2,15,13,empty-2x3,0.3
team12_A1,team12_A2,team12_A2,8,20,empty-2x3,0.3
team12_A2,greedy_player,team12_A2,21,4,empty-2x3,0.3
greedy_player,team12_A2,team12_A2,7,20,empty-2x3,0.3
team12_A2,greedy_player,greedy_player,11,14,empty-2x3,0.3
greedy_player,team12_A2,team12_A2,7,18,empty-2x3,0.3
team12_A2,greedy_player,team12_A2,17,8,empty-2x3,0.3
greedy_player,team12_A2,team12_A2,7,18,empty-2x3,0.3
team12_A2,team12_A1,team12_A2,15,13,empty-2x3,0.3
team12_A1,team12_A2,team12_A1,20,8,empty-2x3,0.3
team12_A2,team12_A1,team12_A2,15,13,empty-2x3,0.3
team12_A1,team12_A2,team12_A1,20,8,empty-2x3,0.3
team12_A2,team12_A1,team12_A2,15,13,empty-2x3,0.3
team12_A1,team12_A2,team12_A1,20,8,empty-2x3,0.3
team12_A2,greedy_player,team12_A2,23,5,empty-2x3,0.3
greedy_player,team12_A2,team12_A2,9,19,empty-2x3,0.3
team12_A2,greedy_player,team12_A2,20,5,empty-2x3,0.3
greedy_player,team12_A2,team12_A2,6,19,empty-2x3,0.3
team12_A2,greedy_player,team12_A2,19,6,empty-2x3,0.3
greedy_player,team12_A2,team12_A2,6,19,empty-2x3,0.3
team12_A2,team12_A1,team12_A2,21,7,empty-2x3,0.3
team12_A1,team12_A2,team12_A2,7,18,empty-2x3,0.3
team12_A2,team12_A1,team12_A2,21,7,empty-2x3,0.3
team12_A1,team12_A2,team12_A2,7,18,empty-2x3,0.3
team12_A2,team12_A1,team12_A2,21,7,empty-2x3,0.3
team12_A1,team12_A2,team12_A2,7,18,empty-2x3,0.3
team12_A2,greedy_player,team12_A2,27,9,empty-2x3,0.3
greedy_player,team12_A2,team12_A2,10,25,empty-2x3,0.3
team12_A2,greedy_player,team12_A2,22,15,empty-2x3,0.3
greedy_player,team12_A2,team12_A2,9,26,empty-2x3,0.3
team12_A2,greedy_player,team12_A2,30,8,empty-2x3,0.3
greedy_player,team12_A2,team12_A2,11,24,empty-2x3,0.3
team12_A2,team12_A1,team12_A2,30,11,empty-2x3,0.3
team12_A1,team12_A2,team12_A1,21,16,empty-2x3,0.3
team12_A2,team12_A1,team12_A2,27,12,empty-2x3,0.3
team12_A1,team12_A2,team12_A2,13,23,empty-2x3,0.3
team12_A2,team12_A1,team12_A2,30,11,empty-2x3,0.3
team12_A1,team12_A2,team12_A1,25,13,empty-2x3,0.3
team12_A2,greedy_player,team12_A2,25,11,empty-2x3,0.3
greedy_player,team12_A2,greedy_player,27,13,empty-2x3,0.3
team12_A2,greedy_player,greedy_player,16,20,empty-2x3,0.3
greedy_player,team12_A2,team12_A2,10,27,empty-2x3,0.3
team12_A2,greedy_player,team12_A2,29,8,empty-2x3,0.3
greedy_player,team12_A2,greedy_player,20,16,empty-2x3,0.3
team12_A1,team12_A2,team12_A1,26,18,empty-2x3,0.3
team12_A1,team12_A2,team12_A1,33,11,empty-2x3,0.3
team12_A1,team12_A2,team12_A1,26,18,empty-2x3,0.3
team12_A2,greedy_player,team12_A2,30,8,empty-2x3,0.3
greedy_player,team12_A2,team12_A2,7,28,empty-2x3,0.3
team12_A2,greedy_player,team12_A2,28,7,empty-2x3,0.3
greedy_player,team12_A2,team12_A2,10,27,empty-2x3,0.3
team12_A2,greedy_player,team12_A2,27,11,empty-2x3,0.3
greedy_player,team12_A2,team12_A2,9,29,empty-2x3,0.3
team12_A2,team12_A1,team12_A1,12,32,empty-2x3,0.3
team12_A1,team12_A2,team12_A1,27,12,empty-2x3,0.3
team12_A2,team12_A1,team12_A1,12,32,empty-2x3,0.3
team12_A1,team12_A2,team12_A1,27,12,empty-2x3,0.3
team12_A2,team12_A1,team12_A1,12,32,empty-2x3,0.3
team12_A1,team12_A2,team12_A1,27,12,empty-2x3,0.3
team12_A2,greedy_player,team12_A2,24,11,empty-2x3,0.3
greedy_player,team12_A2,team12_A2,9,29,empty-2x3,0.3
team12_A2,greedy_player,team12_A2,30,7,empty-2x3,0.3
greedy_player,team12_A2,greedy_player,23,12,empty-2x3,0.3
team12_A2,greedy_player,team12_A2,26,10,empty-2x3,0.3
greedy_player,team12_A2,team12_A2,9,29,empty-2x3,0.3
team12_A2,team12_A1,team12_A2,26,14,empty-2x3,0.3
team12_A1,team12_A2,team12_A2,13,28,empty-2x3,0.3
team12_A2,team12_A1,team12_A2,32,10,empty-2x3,0.3
team12_A1,team12_A2,team12_A2,13,28,empty-2x3,0.3
team12_A2,team12_A1,team12_A2,32,10,empty-2x3,0.3
team12_A1,team12_A2,team12_A2,13,28,empty-2x3,0.3
team12_A2,greedy_player,team12_A2,27,8,empty-2x3,0.3
greedy_player,team12_A2,team12_A2,11,24,empty-2x3,0.3
team12_A2,greedy_player,team12_A2,30,7,empty-2x3,0.3
greedy_player,team12_A2,team12_A2,10,27,empty-2x3,0.3
team12_A2,greedy_player,greedy_player,11,27,empty-2x3,0.3
greedy_player,team12_A2,team12_A2,12,23,empty-2x3,0.3
team12_A2,team12_A1,team12_A1,7,37,empty-2x3,0.3
team12_A1,team12_A2,team12_A2,9,30,empty-2x3,0.3
team12_A2,team12_A1,team12_A2,28,10,empty-2x3,0.3
team12_A1,team12_A2,team12_A2,12,25,empty-2x3,0.3
team12_A2,team12_A1,team12_A2,28,10,empty-2x3,0.3
team12_A1,team12_A2,team12_A2,9,30,empty-2x3,0.3
team12_A2,greedy_player,team12_A2,32,7,empty-2x3,0.3
greedy_player,team12_A2,team12_A2,7,28,empty-2x3,0.3
team12_A2,greedy_player,team12_A2,27,9,empty-2x3,0.3
greedy_player,team12_A2,team12_A2,8,27,empty-2x3,0.3
team12_A2,greedy_player,team12_A2,28,7,empty-2x3,0.3
greedy_player,team12_A2,team12_A2,8,27,empty-2x3,0.3
team12_A2,team12_A1,team12_A2,31,7,empty-2x3,0.3
team12_A1,team12_A2,team12_A2,10,33,empty-2x3,0.3
team12_A2,team12_A1,team12_A2,31,7,empty-2x3,0.3
team12_A1,team12_A2,team12_A2,10,33,empty-2x3,0.3
team12_A2,team12_A1,team12_A2,31,7,empty-2x3,0.3
team12_A1,team12_A2,team12_A2,10,33,empty-2x3,0.3
team12_A2,greedy_player,team12_A2,27,10,empty-2x3,0.3
greedy_player,team12_A2,team12_A2,9,26,empty-2x3,0.3
team12_A2,greedy_player,team12_A2,26,9,empty-2x3,0.3
greedy_player,team12_A2,greedy_player,22,14,empty-2x3,0.3
team12_A2,greedy_player,team12_A2,23,12,empty-2x3,0.3
greedy_player,team12_A2,team12_A2,9,29,empty-2x3,0.3
team12_A2,team12_A1,team12_A2,32,10,empty-2x3,0.3
team12_A1,team12_A2,team12_A2,10,29,empty-2x3,0.3
team12_A2,team12_A1,team12_A2,32,10,empty-2x3,0.3
team12_A1,team12_A2,team12_A2,10,29,empty-2x3,0.3
team12_A2,team12_A1,team12_A1,9,27,empty-2x3,0.3
team12_A1,team12_A2,team12_A2,10,29,empty-2x3,0.3
team12_A2,greedy_player,team12_A2,27,9,empty-2x3,0.3
greedy_player,team12_A2,team12_A2,9,28,empty-2x3,0.3
team12_A2,greedy_player,team12_A2,31,7,empty-2x3,0.3
greedy_player,team12_A2,team12_A2,11,28,empty-2x3,0.3
team12_A2,greedy_player,team12_A2,32,6,empty-2x3,0.3
greedy_player,team12_A2,team12_A2,10,27,empty-2x3,0.3
team12_A2,team12_A1,team12_A2,27,10,empty-2x3,0.3
team12_A1,team12_A2,team12_A1,36,8,empty-2x3,0.3
