player1,player2,winner,score1,score2,board,time
team12_A2_sort_shuffle_11,greedy_player,team12_A2_sort_shuffle_11,22,5,empty-2x3,0.3
greedy_player,team12_A2_sort_shuffle_11,team12_A2_sort_shuffle_11,5,20,empty-2x3,0.3
team12_A2_sort_shuffle_11,greedy_player,team12_A2_sort_shuffle_11,17,8,empty-2x3,0.3
greedy_player,team12_A2_sort_shuffle_11,team12_A2_sort_shuffle_11,5,20,empty-2x3,0.3
team12_A2_sort_shuffle_11,greedy_player,team12_A2_sort_shuffle_11,21,4,empty-2x3,0.3
greedy_player,team12_A2_sort_shuffle_11,team12_A2_sort_shuffle_11,7,21,empty-2x3,0.3
team12_A2_sort_shuffle_11,team12_A1,team12_A2_sort_shuffle_11,18,7,empty-2x3,0.3
team12_A1,team12_A2_sort_shuffle_11,team12_A1,22,6,empty-2x3,0.3
team12_A2_sort_shuffle_11,team12_A1,team12_A2_sort_shuffle_11,26,4,empty-2x3,0.3
team12_A1,team12_A2_sort_shuffle_11,team12_A2_sort_shuffle_11,6,21,empty-2x3,0.3
team12_A2_sort_shuffle_11,team12_A1,team12_A2_sort_shuffle_11,19,7,empty-2x3,0.3
team12_A1,team12_A2_sort_shuffle_11,team12_A2_sort_shuffle_11,5,22,empty-2x3,0.3
team12_A2_sort_shuffle_10,greedy_player,team12_A2_sort_shuffle_10,20,5,empty-2x3,0.3
greedy_player,team12_A2_sort_shuffle_10,team12_A2_sort_shuffle_10,4,23,empty-2x3,0.3
team12_A2_sort_shuffle_10,greedy_player,team12_A2_sort_shuffle_10,23,5,empty-2x3,0.3
greedy_player,team12_A2_sort_shuffle_10,team12_A2_sort_shuffle_10,8,17,empty-2x3,0.3
team12_A2_sort_shuffle_10,greedy_player,team12_A2_sort_shuffle_10,19,6,empty-2x3,0.3
greedy_player,team12_A2_sort_shuffle_10,team12_A2_sort_shuffle_10,8,17,empty-2x3,0.3
team12_A2_sort_shuffle_10,team12_A1,team12_A2_sort_shuffle_10,28,4,empty-2x3,0.3
team12_A1,team12_A2_sort_shuffle_10,team12_A1,22,5,empty-2x3,0.3
team12_A2_sort_shuffle_10,team12_A1,team12_A2_sort_shuffle_10,28,4,empty-2x3,0.3
team12_A1,team12_A2_sort_shuffle_10,team12_A1,22,5,empty-2x3,0.3
team12_A2_sort_shuffle_10,team12_A1,team12_A1,4,28,empty-2x3,0.3
team12_A1,team12_A2_sort_shuffle_10,team12_A1,22,5,empty-2x3,0.3
team12_A2_sort_shuffle_11,greedy_player,team12_A2_sort_shuffle_11,19,8,empty-2x3,0.3
greedy_player,team12_A2_sort_shuffle_11,team12_A2_sort_shuffle_11,7,22,empty-2x3,0.3
team12_A2_sort_shuffle_11,greedy_player,team12_A2_sort_shuffle_11,23,5,empty-2x3,0.3
greedy_player,team12_A2_sort_shuffle_11,team12_A2_sort_shuffle_11,6,19,empty-2x3,0.3
team12_A2_sort_shuffle_11,greedy_player,team12_A2_sort_shuffle_11,21,7,empty-2x3,0.3
greedy_player,team12_A2_sort_shuffle_11,team12_A2_sort_shuffle_11,3,22,empty-2x3,0.3
team12_A2_sort_shuffle_11,team12_A1,team12_A2_sort_shuffle_11,26,4,empty-2x3,0.3
team12_A1,team12_A2_sort_shuffle_11,team12_A2_sort_shuffle_11,8,23,empty-2x3,0.3
team12_A2_sort_shuffle_11,team12_A1,team12_A2_sort_shuffle_11,24,6,empty-2x3,0.3
team12_A1,team12_A2_sort_shuffle_11,team12_A1,16,9,empty-2x3,0.3
team12_A2_sort_shuffle_11,team12_A1,team12_A2_sort_shuffle_11,19,7,empty-2x3,0.3
team12_A1,team12_A2_sort_shuffle_11,team12_A2_sort_shuffle_11,5,23,empty-2x3,0.3
team12_A2_sort_shuffle_10,greedy_player,team12_A2_sort_shuffle_10,22,3,empty-2x3,0.3
greedy_player,team12_A2_sort_shuffle_10,team12_A2_sort_shuffle_10,5,23,empty-2x3,0.3
team12_A2_sort_shuffle_10,greedy_player,team12_A2_sort_shuffle_10,18,7,empty-2x3,0.3
greedy_player,team12_A2_sort_shuffle_10,team12_A2_sort_shuffle_10,6,19,empty-2x3,0.3
team12_A2_sort_shuffle_10,greedy_player,team12_A2_sort_shuffle_10,23,5,empty-2x3,0.3
greedy_player,team12_A2_sort_shuffle_10,team12_A2_sort_shuffle_10,7,18,empty-2x3,0.3
team12_A2_sort_shuffle_10,team12_A1,team12_A2_sort_shuffle_10,28,4,empty-2x3,0.3
team12_A1,team12_A2_sort_shuffle_10,team12_A1,22,5,empty-2x3,0.3
team12_A2_sort_shuffle_10,team12_A1,team12_A2_sort_shuffle_10,28,4,empty-2x3,0.3
team12_A1,team12_A2_sort_shuffle_10,team12_A1,22,5,empty-2x3,0.3
team12_A2_sort_shuffle_10,team12_A1,team12_A2_sort_shuffle_10,28,4,empty-2x3,0.3
team12_A1,team12_A2_sort_shuffle_10,team12_A1,22,6,empty-2x3,0.3
team12_A2_sort_shuffle_11,greedy_player,team12_A2_sort_shuffle_11,20,8,empty-2x3,0.3
greedy_player,team12_A2_sort_shuffle_11,team12_A2_sort_shuffle_11,5,20,empty-2x3,0.3
team12_A2_sort_shuffle_11,greedy_player,team12_A2_sort_shuffle_11,20,5,empty-2x3,0.3
greedy_player,team12_A2_sort_shuffle_11,team12_A2_sort_shuffle_11,3,22,empty-2x3,0.3
team12_A2_sort_shuffle_11,greedy_player,team12_A2_sort_shuffle_11,20,5,empty-2x3,0.3
greedy_player,team12_A2_sort_shuffle_11,team12_A2_sort_shuffle_11,5,22,empty-2x3,0.3
team12_A2_sort_shuffle_11,team12_A1,team12_A1,8,20,empty-2x3,0.3
team12_A1,team12_A2_sort_shuffle_11,team12_A2_sort_shuffle_11,13,19,empty-2x3,0.3
team12_A2_sort_shuffle_11,team12_A1,team12_A2_sort_shuffle_11,25,6,empty-2x3,0.3
team12_A1,team12_A2_sort_shuffle_11,team12_A2_sort_shuffle_11,10,16,empty-2x3,0.3
team12_A2_sort_shuffle_11,team12_A1,team12_A2_sort_shuffle_11,24,4,empty-2x3,0.3
team12_A1,team12_A2_sort_shuffle_11,team12_A2_sort_shuffle_11,4,24,empty-2x3,0.3
team12_A2_sort_shuffle_10,greedy_player,team12_A2_sort_shuffle_10,17,8,empty-2x3,0.3
